Cancion;Nombre Album;Artista;Fecha de lanzamiento;Codigo de grabacion;Ranking historico;Spotify Streams;Spotify Playlist Count;Busquedas en Spotify;Spotify Popularity;YouTube Views;YouTube Likes;TikTok Posts;TikTok Likes;TikTok Views;YouTube Playlist Reach;Apple Music Playlist Count;Amazon Playlist Count;Soundcloud Streams;;;;;
Ella Baila Sola;Ella Baila Sola;Eslabon Armado;3/16/2023;USE7D2300007;84;1,215,336,974;129,463;39,814,172;74;701,880,622;3,831,236;5,416;550,073;15,373,104;546,259,059;83;61;17,115,523;;;;;
Dance The Night - From Barbie The Album;Dance The Night (From Barbie The Album);Dua Lipa;5/25/2023;USAT22305457;85;860,026,452;74,769;139,913,794;80;173,044,031;1,640,319;175,536;90,924,917;1,227,837,850;1,205,266,954;7;;1,843,883;;;;;
La Bebe - Remix;La Bebe (Remix);Yng Lvcas;3/17/2023;MXF152300159;86;1,032,225,805;94,887;74,469,479;79;920,878,032;3,118,229;1,031,612;116,003,972;2,416,141,351;1,690,231,413;83;48;230,579;;;;;
redrum;american dream;21 Savage;1/12/24;USSM12309164;87;428,233,003;57,311;144,298,748;;105,148,629;1,762,297;87,2;6,732,800;43,993,800;977,638,660;74;60;;;;;;
Easy On Me;Easy On Me;Adele;10/14/2021;USSM12105970;88;1,720,918,065;209,635;93,875,458;73;1,194,846,205;13,561,925;1,912,194;733,101,955;7,860,224,413;6,353,555,150;325;100;;;;;;
Titï¿½ï¿½ Me Pregu;Un Verano Sin Ti;Bad Bunny;5/6/22;QM6MZ2214878;89;1,514,239,759;190,692;77,283,361;77;1,366,181,141;9,358,441;1,769,068;475,656,543;5,249,863,696;488,048,337;150;108;;;;;;
All My Life (feat. J. Cole);All My Life (feat. J. Cole);Lil Durk;5/12/23;USQX92302957;90;333,202,114;108,322;41,018,697;68;203,487,345;2,084,532;928,132;63,253,779;748,253,884;735,908,540;148;60;16,620,102;;;;;
Anti-Hero;Midnights;Taylor Swift;10/21/2022;USUG12205736;91;1,563,224,246;117,005;97,456,780;80;203,259,285;3,482,508;1,302,967;376,660,493;3,864,505,972;724,976,542;261;150;;;;;;
Quevedo: Bzrp Music Sessions; Vol. 52;Quevedo: Bzrp Music Sessions, Vol. 52;Bizarrap;7/6/22;UYB282201028;161.7;1,692,951,462;209,49;88,591,675;78;1,132,539,234;8,795,731;1,212,100;196,608,777;2,054,826,154;56,677,146;5,211,955;5,213;0;;;;
Magnetic;SUPER REAL ME;ILLIT;3/25/2024;USA2P2413259;93;255,076,355;11,5;90,584,540;86;202,206,901;2,596,912;;57,656,713;506,476,590;273,521,596;67;44;556,784;;;;;
